iter	RMSE
0	0.3996536584
1	0.3972267071
2	0.394939682
3	0.3922528819
4	0.389704193
5	0.3873055267
6	0.3848078526
7	0.3824254829
8	0.3800047469
9	0.3776252751
10	0.3752049985
11	0.3727850349
12	0.3706316935
13	0.3682180924
14	0.3659106938
15	0.3636130528
16	0.3613986012
17	0.3592933763
18	0.3571231849
19	0.355032115
20	0.352957306
21	0.3508934464
22	0.3489396015
23	0.3467261585
24	0.3446378398
25	0.3424619773
26	0.3404497332
27	0.338380125
28	0.3364971522
29	0.334537447
30	0.3326678846
31	0.3306575816
32	0.3287471191
33	0.326845394
34	0.325071112
35	0.3233411412
36	0.3214872412
37	0.3195853638
38	0.3179448239
39	0.3162763455
40	0.3143471837
41	0.3126158507
42	0.3110914514
43	0.3094730737
44	0.3078546009
45	0.306183335
46	0.3044918786
47	0.3029795987
48	0.3011968103
49	0.2995384637
50	0.2980781772
51	0.2965441701
52	0.2949229957
53	0.2934939855
54	0.2919892097
55	0.2905552785
56	0.2889151626
57	0.2876905211
58	0.2861127388
59	0.2846137588
60	0.2831661882
61	0.2818706526
62	0.2803241483
63	0.2788599531
64	0.2773813588
65	0.2759613596
66	0.2744887688
67	0.2731486464
68	0.2718342946
69	0.2706881356
70	0.2695153752
71	0.2681747417
72	0.2670759057
73	0.2657811478
74	0.2645287539
75	0.263128533
76	0.2618358359
77	0.260674692
78	0.2593376803
79	0.2581884926
80	0.2569845987
81	0.2557908081
82	0.2545703435
83	0.2534532149
84	0.2522740815
85	0.2510832565
86	0.2499095344
87	0.2488164228
88	0.2476564194
89	0.2464667402
90	0.245399791
91	0.2442769578
92	0.2431392227
93	0.2421125201
94	0.2409489655
95	0.2398815336
96	0.2387436437
97	0.237692098
98	0.2366589354
99	0.2356452274
100	0.2346598664
101	0.2336196877
102	0.2326182583
103	0.231615245
104	0.230622774
105	0.2296605358
106	0.2287008453
107	0.2278102092
108	0.226847594
109	0.2259176385
110	0.225047294
111	0.2241051414
112	0.2231868476
113	0.2223013782
114	0.2213130367
115	0.2204936479
116	0.2195414623
117	0.2185449811
118	0.2176584858
119	0.2167481875
120	0.2157872239
121	0.214941412
122	0.2140566101
123	0.2132530723
124	0.2123758597
125	0.2115682167
126	0.2108573297
127	0.2099968029
128	0.2093139858
129	0.2085437891
130	0.2077066126
131	0.2068458596
132	0.2060291812
133	0.2052458906
134	0.2045188831
135	0.2037778307
136	0.2030952363
137	0.2024574667
138	0.201772582
139	0.2010799927
140	0.2003355869
141	0.1995778092
142	0.1989133965
143	0.1981651114
144	0.1974902683
145	0.1968015822
146	0.1961295233
147	0.1954577538
148	0.1947758742
149	0.1941142282
150	0.1934766599
151	0.1928305708
152	0.1921661778
153	0.1914991545
154	0.1909209839
155	0.1902913757
156	0.1896559437
157	0.1890694337
158	0.1884131462
159	0.1877678954
160	0.1871973505
161	0.1866326435
162	0.1860990659
163	0.1854646624
164	0.1848497987
165	0.1843258256
166	0.1837412053
167	0.1831682316
168	0.1826125131
169	0.1821208115
170	0.1815287155
171	0.1809741425
172	0.1804533546
173	0.1799078934
174	0.1793639729
175	0.1788637607
176	0.1783978811
177	0.1779074534
178	0.1773838044
179	0.1768878686
180	0.1764233441
181	0.1758941361
182	0.1754460395
183	0.1749654953
184	0.1744702382
185	0.1740369133
186	0.1735566801
187	0.1731015674
188	0.1726302964
189	0.1721624333
190	0.1717285452
191	0.1712489733
192	0.1707868065
193	0.1703185698
194	0.1698308502
195	0.1693340658
196	0.1689167579
197	0.1684465164
198	0.1680464956
199	0.1676078232
200	0.1672222642
201	0.166833961
202	0.1664114675
203	0.1660191797
204	0.1656226241
205	0.1652534739
206	0.1648243213
207	0.1644618637
208	0.1640882238
209	0.1636967223
210	0.1633097401
211	0.1629162162
212	0.1625146929
213	0.1621084009
214	0.1617169245
215	0.161381462
216	0.1610243159
217	0.160642092
218	0.1602600132
219	0.1598647525
220	0.1595753961
221	0.1592080893
222	0.1588568817
223	0.1584717356
224	0.1581272905
225	0.1577455829
226	0.1573874764
227	0.1570110018
228	0.1567203037
229	0.1563601775
230	0.1560489721
231	0.1557455717
232	0.1554311297
233	0.1551192566
234	0.1548001688
235	0.154474971
236	0.154172008
237	0.1538361232
238	0.1535554626
239	0.1532274366
240	0.1529152824
241	0.1526328169
242	0.1522994703
243	0.1519844516
244	0.1517631652
245	0.1514479551
246	0.1511361039
247	0.1508341448
248	0.1505370216
249	0.1502973995
250	0.1500182845
251	0.14973126
252	0.1494959961
253	0.1491991578
254	0.1488921063
255	0.1486436225
256	0.1484101816
257	0.1481356918
258	0.1478711862
259	0.1476414085
260	0.1473596943
261	0.1470679264
262	0.14681194
263	0.1465786372
264	0.146366979
265	0.1461267975
266	0.1458975271
267	0.145623762
268	0.1454091982
269	0.1451922432
270	0.1449506562
271	0.1447161299
272	0.1444778594
273	0.1442405497
274	0.1440440405
275	0.1437896751
276	0.1435682395
277	0.1433848586
278	0.143140107
279	0.1429465581
280	0.1427508762
281	0.1424951922
282	0.1422604121
283	0.1419767529
284	0.1417862
285	0.1415253054
286	0.1413276199
287	0.1411262108
288	0.1409506177
289	0.1407286952
290	0.1404850452
291	0.1402789842
292	0.1400949486
293	0.1398991023
294	0.1396691801
295	0.1395012957
296	0.1393117249
297	0.1391211765
298	0.1389337382
299	0.1387488983
300	0.1385583412
301	0.1383730002
302	0.1381702807
303	0.1379710909
304	0.137826866
305	0.1376601964
306	0.1374825349
307	0.1372658627
308	0.1370645327
309	0.1368756956
310	0.1367139469
311	0.1365814572
312	0.1363956259
313	0.1362287171
314	0.1359931559
315	0.1358048596
316	0.1356247105
317	0.1354313007
318	0.1352447473
319	0.1350742642
320	0.1349232378
321	0.1347467242
322	0.1345712421
323	0.1344129327
324	0.1342338358
325	0.1340754855
326	0.1339219404
327	0.1337410627
328	0.1335806769
329	0.1334430177
330	0.1333005037
331	0.1331446702
332	0.1329815458
333	0.1328419457
334	0.1326880073
335	0.1325491127
336	0.1324225881
337	0.1322639295
338	0.1320724237
339	0.1319219387
340	0.1317747211
341	0.1315858138
342	0.1314260195
343	0.1312919561
344	0.1311112293
345	0.1309902519
346	0.1308257847
347	0.1306848129
348	0.1305682755
349	0.1304320566
350	0.1303153876
351	0.1301868739
352	0.1300231538
353	0.1299067022
354	0.1297547812
355	0.1296255983
356	0.1294711865
357	0.1293602931
358	0.1292115456
359	0.1290444898
360	0.1289365124
361	0.1288063536
362	0.1286362019
363	0.1285356306
364	0.1284008114
365	0.1282324766
366	0.1280885612
367	0.1279943109
368	0.1278708666
369	0.1277512167
370	0.1276122776
371	0.127465613
372	0.1273462792
373	0.1272095055
374	0.1270901677
375	0.1269743452
376	0.1268546982
377	0.126679585
378	0.126553152
379	0.1264254852
380	0.1263119412
381	0.126203131
382	0.1260993058
383	0.1259961499
384	0.1258917201
385	0.1257765028
386	0.1256755513
387	0.1255637753
388	0.1254961396
389	0.1253727542
390	0.1252614454
391	0.1251249751
392	0.1250437109
393	0.1249148976
394	0.1248233602
395	0.1247269413
396	0.1246203039
397	0.1245338953
398	0.1244227844
399	0.1243061033
400	0.1241725622
401	0.1240574817
402	0.1239376441
403	0.1238111881
404	0.123684138
405	0.1235610442
406	0.1234281019
407	0.1233510505
408	0.1232322743
409	0.1231315953
410	0.1230355024
411	0.1229304041
412	0.1228298199
413	0.1227463973
414	0.1226284097
415	0.1225530247
416	0.1224673422
417	0.1223247837
418	0.1222264572
419	0.1221116405
420	0.1220142245
421	0.1219067542
422	0.1218098142
423	0.1216956794
424	0.1215817135
425	0.1215046853
426	0.1213779138
427	0.1213051184
428	0.121201933
429	0.1211081876
430	0.1209960164
431	0.1208819334
432	0.120782764
433	0.1206859854
434	0.1205964613
435	0.1204993697
436	0.1204125525
437	0.1203340781
438	0.1202373307
439	0.1201091457
440	0.1200153459
441	0.1199092016
442	0.1198201511
443	0.1197208275
444	0.1196268462
445	0.1195436492
446	0.1194571599
447	0.1193484116
448	0.1192431475
449	0.1191652453
450	0.1190442602
451	0.1189724905
452	0.1188649452
453	0.1187463857
454	0.1186587779
455	0.1185860587
456	0.1184924323
457	0.1184039799
458	0.118331683
459	0.1182326123
460	0.118156094
461	0.1180693512
462	0.1180001531
463	0.1179199973
464	0.1178198313
465	0.1177099117
466	0.1176403664
467	0.1175514332
468	0.1174702169
469	0.1173777087
470	0.1172501606
471	0.1171180923
472	0.1170578852
473	0.1169614208
474	0.1168794289
475	0.1167729001
476	0.11670129
477	0.1166212492
478	0.1165399309
479	0.1164494051
480	0.1163738154
481	0.1162999379
482	0.1162098478
483	0.1161444776
484	0.1160490732
485	0.1159600427
486	0.1158833905
487	0.1158167869
488	0.115735224
489	0.1156438139
490	0.1155972875
491	0.1155300019
492	0.1154527841
493	0.1153435224
494	0.1152743585
495	0.1152146311
496	0.1151228843
497	0.1150491564
498	0.1149925761
499	0.1149104997
500	0.1148248326
501	0.114743258
502	0.1146895197
503	0.114623014
504	0.1145241789
505	0.1144337714
506	0.1143559849
507	0.114281473
508	0.1142098452
509	0.1141494961
510	0.1140501423
511	0.1139478593
512	0.1139054473
513	0.1138653707
514	0.1137848284
515	0.1137011058
516	0.1136339906
517	0.1135702127
518	0.1134938011
519	0.1134097573
520	0.1133342702
521	0.1132644805
522	0.1131794243
523	0.1131147179
524	0.1130348984
525	0.1129618397
526	0.1128915638
527	0.1128395777
528	0.1127706945
529	0.1126936016
530	0.1126107694
531	0.1125609922
532	0.1124862231
533	0.1124215752
534	0.1123727444
535	0.1122902331
536	0.1122306082
537	0.1121676483
538	0.1121180204
539	0.1120719469
540	0.1120167159
541	0.1119546373
542	0.1118982348
543	0.1118214463
544	0.1117817987
545	0.1117206644
546	0.1116635294
547	0.1116051631
548	0.1115381878
549	0.1114879093
550	0.1114034984
551	0.1113288852
552	0.1112901341
553	0.1112253839
554	0.1111586473
555	0.1111168636
556	0.111051614
557	0.1109891217
558	0.1109121735
559	0.1108224992
560	0.1107640921
561	0.1107059562
562	0.1106419259
563	0.110595881
564	0.1105383316
565	0.1104872549
566	0.1104214777
567	0.1103592441
568	0.1102866496
569	0.1102737962
570	0.1102197805
571	0.1101356942
572	0.1100997292
573	0.1100650407
574	0.1099558524
575	0.1098833991
576	0.1098140229
577	0.1097522005
578	0.1096923265
579	0.1096262414
580	0.1095850305
581	0.1095298527
582	0.1094856339
583	0.1094500374
584	0.1093975159
585	0.1093394511
586	0.1092952429
587	0.1092194319
588	0.1091584747
589	0.1090845678
590	0.1090356788
591	0.108982099
592	0.1089027096
593	0.1088472594
594	0.1088103711
595	0.1087530065
596	0.108696903
597	0.1086440917
598	0.1085965758
599	0.1085228658
600	0.1084655669
601	0.108405773
602	0.1083355001
603	0.1082819655
604	0.1082274094
605	0.1081739348
606	0.1081298505
607	0.1080624457
608	0.1080159876
609	0.1079504812
610	0.107896116
611	0.1078449252
612	0.1077784863
613	0.1077336068
614	0.1076772019
615	0.1076257897
616	0.1075801877
617	0.1075445102
618	0.1074553665
619	0.1074058332
620	0.1073386779
621	0.1073026924
622	0.1072420879
623	0.1071610774
624	0.1071145163
625	0.107065342
626	0.107000686
627	0.1069230993
628	0.1068680453
629	0.1068103739
630	0.106795725
631	0.1067428419
632	0.1067227847
633	0.1066755046
634	0.1066110825
635	0.1065656268
636	0.1065255599
637	0.1064976451
638	0.1064090989
639	0.1063668178
640	0.1063002194
641	0.1062791113
642	0.1062090676
643	0.1061410261
644	0.1060690117
645	0.1060162599
646	0.1059548862
647	0.1058914956
648	0.1058187889
649	0.105770974
650	0.1057053025
651	0.1056626601
652	0.1056112019
653	0.1055832721
654	0.1055334274
655	0.1055085944
656	0.1054634664
657	0.1054169796
658	0.105371621
659	0.1053212071
660	0.1052670637
661	0.105221492
662	0.1051624085
663	0.1051328392
664	0.105113408
665	0.1050676623
666	0.1050201905
667	0.1049579199
668	0.1049199569
669	0.1048750642
670	0.1048440425
671	0.1047843484
672	0.1047677007
673	0.1047012946
674	0.104672751
675	0.1046364252
676	0.1045785249
677	0.1045559408
678	0.1045082155
679	0.1044509573
680	0.1043985322
681	0.1043467414
682	0.1042904841
683	0.1042480194
684	0.1042023698
685	0.104172682
686	0.1041458327
687	0.1041209425
688	0.1040626591
689	0.104003259
690	0.1039393037
691	0.1038668021
692	0.1038118144
693	0.103765972
694	0.1037229178
695	0.1036750097
696	0.1036230054
697	0.1035925314
698	0.1035479504
699	0.1035033413
700	0.1034704371
701	0.1034176326
702	0.103387372
703	0.1033688409
704	0.1033355773
705	0.1032914448
706	0.1032407676
707	0.1032252403
708	0.1031874306
709	0.103153636
710	0.1031095933
711	0.1030750717
712	0.1030336896
713	0.1029866089
714	0.1029470646
715	0.1028947964
716	0.1028640216
717	0.1028337826
718	0.1027811188
719	0.1027326407
720	0.1026970011
721	0.1026645898
722	0.1026180099
723	0.1025738982
724	0.1025050237
725	0.1024609903
726	0.1024119052
727	0.1023844626
728	0.1023226593
729	0.1023017793
730	0.1022735206
731	0.1022495155
732	0.1021683739
733	0.1021330084
734	0.1021144804
735	0.1020968459
736	0.1020524809
737	0.1020075746
738	0.1019451819
739	0.1019240436
740	0.1018992198
741	0.1018168727
742	0.1017709012
743	0.1017267022
744	0.1016748246
