iter	Passed	Remaining
0	3	9123
1	6	9112
2	9	9502
3	12	9560
4	15	9452
5	18	9458
6	22	9496
7	25	9547
8	28	9485
9	31	9432
10	34	9361
11	37	9338
12	40	9309
13	43	9221
14	46	9195
15	49	9173
16	52	9215
17	55	9200
18	58	9188
19	61	9174
20	64	9165
21	67	9170
22	70	9153
23	73	9127
24	76	9105
25	79	9119
26	82	9110
27	85	9099
28	88	9094
29	91	9093
30	94	9094
31	97	9074
32	101	9094
33	104	9084
34	107	9074
35	110	9060
36	112	9037
37	115	9026
38	118	9008
39	121	8998
40	124	8988
41	127	8978
42	130	8954
43	132	8931
44	135	8921
45	138	8916
46	141	8898
47	144	8885
48	147	8868
49	150	8873
50	153	8873
51	156	8875
52	159	8870
53	162	8859
54	165	8852
55	168	8857
56	171	8847
57	174	8841
58	177	8839
59	180	8831
60	183	8834
61	186	8828
62	189	8819
63	192	8809
64	195	8814
65	198	8809
66	201	8802
67	203	8795
68	206	8790
69	209	8778
70	212	8780
71	215	8771
72	218	8766
73	221	8761
74	224	8755
75	227	8750
76	230	8743
77	233	8732
78	235	8725
79	238	8715
80	241	8718
81	244	8712
82	247	8706
83	250	8696
84	253	8688
85	256	8682
86	259	8679
87	262	8676
88	265	8669
89	268	8666
90	271	8669
91	274	8664
92	277	8660
93	280	8656
94	282	8649
95	285	8646
96	288	8638
97	291	8634
98	294	8629
99	297	8624
100	300	8626
101	303	8622
102	306	8617
103	309	8613
104	312	8609
105	315	8607
106	318	8602
107	320	8594
108	323	8588
109	326	8583
110	329	8583
111	332	8582
112	335	8577
113	338	8573
114	341	8569
115	344	8568
116	347	8563
117	350	8556
118	353	8547
119	355	8543
120	358	8538
121	361	8535
122	364	8528
123	367	8521
124	370	8516
125	373	8510
126	375	8504
127	379	8504
128	381	8500
129	385	8505
130	388	8500
131	391	8496
132	393	8491
133	396	8488
134	399	8483
135	402	8479
136	405	8475
137	408	8470
138	411	8470
139	414	8469
140	417	8470
141	420	8469
142	423	8466
143	426	8464
144	429	8458
145	432	8455
146	435	8452
147	438	8450
148	441	8443
149	444	8439
150	447	8440
151	450	8437
152	453	8434
153	456	8430
154	459	8427
155	462	8429
156	465	8425
157	468	8421
158	470	8415
159	473	8412
160	477	8411
161	480	8409
162	483	8407
163	485	8402
164	488	8397
165	491	8394
166	494	8392
167	497	8386
168	500	8382
169	503	8378
170	506	8378
171	509	8374
172	512	8370
173	515	8366
174	518	8366
175	521	8364
176	524	8363
177	527	8360
178	530	8357
179	533	8351
180	536	8350
181	539	8346
182	553	8512
183	555	8508
184	558	8503
185	561	8497
186	564	8493
187	567	8490
188	570	8488
189	573	8481
190	576	8479
191	579	8477
192	582	8472
193	585	8467
194	588	8464
195	591	8458
196	594	8454
197	597	8451
198	600	8450
199	603	8446
200	606	8443
201	609	8438
202	612	8434
203	615	8430
204	618	8426
205	620	8422
206	623	8416
207	626	8414
208	629	8408
209	632	8403
210	635	8398
211	638	8392
212	641	8388
213	643	8383
214	646	8379
215	649	8373
216	652	8369
217	655	8368
218	658	8364
219	661	8360
220	664	8357
221	667	8352
222	670	8349
223	673	8346
224	676	8341
225	679	8336
226	681	8331
227	684	8325
228	687	8322
229	690	8319
230	693	8316
231	696	8314
232	699	8310
233	702	8307
234	705	8303
235	708	8298
236	711	8294
237	714	8288
238	717	8284
239	720	8281
240	723	8282
241	726	8281
242	729	8276
243	732	8273
244	735	8268
245	738	8263
246	741	8259
247	744	8256
248	747	8253
249	749	8246
250	752	8240
251	755	8235
252	758	8230
253	760	8227
254	763	8223
255	766	8220
256	769	8217
257	772	8213
258	776	8212
259	779	8210
260	781	8205
261	784	8201
262	787	8198
263	790	8195
264	793	8192
265	796	8187
266	799	8183
267	802	8179
268	805	8175
269	808	8171
270	811	8167
271	813	8163
272	816	8159
273	819	8155
274	822	8150
275	825	8146
276	828	8142
277	831	8137
278	834	8134
279	836	8129
280	839	8124
281	842	8120
282	845	8117
283	848	8113
284	851	8108
285	854	8105
286	857	8102
287	859	8097
288	862	8094
289	865	8091
290	868	8088
291	871	8084
292	874	8081
293	877	8078
294	880	8075
295	883	8070
296	886	8068
297	889	8065
298	892	8062
299	895	8060
300	898	8057
301	901	8054
302	904	8051
303	907	8050
304	910	8047
305	913	8044
306	916	8042
307	919	8040
308	922	8037
309	925	8034
310	929	8033
311	932	8030
312	935	8027
313	938	8027
314	941	8026
315	944	8024
316	947	8021
317	950	8019
318	953	8016
319	956	8014
320	959	8010
321	962	8007
322	965	8003
323	968	8001
324	971	8000
325	975	7998
326	978	7996
327	981	7993
328	984	7990
329	987	7986
330	998	8049
331	1001	8047
332	1004	8044
333	1007	8040
334	1010	8038
335	1013	8035
336	1016	8032
337	1019	8029
338	1022	8025
339	1025	8020
340	1028	8016
341	1031	8013
342	1033	8008
343	1036	8003
344	1039	7999
345	1042	7996
346	1045	7992
347	1048	7989
348	1051	7987
349	1054	7985
350	1057	7981
351	1060	7977
352	1063	7974
353	1066	7970
354	1069	7966
355	1072	7962
356	1074	7958
357	1078	7957
358	1081	7954
359	1084	7950
360	1087	7947
361	1090	7944
362	1093	7940
363	1095	7936
364	1099	7934
365	1101	7929
366	1104	7927
367	1107	7923
368	1110	7920
369	1113	7916
370	1116	7913
371	1119	7911
372	1122	7907
373	1125	7903
374	1128	7899
375	1132	7905
376	1135	7901
377	1138	7897
378	1141	7894
379	1144	7891
380	1147	7887
381	1150	7883
382	1153	7879
383	1156	7876
384	1159	7872
385	1162	7869
386	1164	7865
387	1167	7861
388	1170	7857
389	1173	7853
390	1176	7849
391	1179	7845
392	1182	7842
393	1185	7837
394	1188	7835
395	1191	7832
396	1193	7828
397	1196	7825
398	1199	7821
399	1202	7817
400	1205	7813
401	1208	7810
402	1211	7805
403	1214	7801
404	1217	7799
405	1220	7797
406	1223	7794
407	1226	7791
408	1229	7788
409	1232	7785
410	1235	7782
411	1238	7779
412	1241	7775
413	1244	7771
414	1247	7768
415	1249	7763
416	1252	7760
417	1255	7756
418	1258	7752
419	1261	7750
420	1264	7746
421	1267	7743
422	1270	7739
423	1273	7737
424	1291	7823
425	1294	7820
426	1297	7817
427	1300	7813
428	1303	7809
429	1306	7806
430	1308	7802
431	1312	7799
432	1314	7795
433	1318	7792
434	1321	7789
435	1324	7786
436	1327	7783
437	1330	7779
438	1333	7777
439	1336	7775
440	1339	7770
441	1342	7766
442	1345	7764
443	1348	7760
444	1351	7757
445	1353	7753
446	1356	7749
447	1359	7746
448	1362	7742
449	1365	7737
450	1368	7733
451	1371	7729
452	1373	7724
453	1376	7720
454	1379	7717
455	1382	7713
456	1385	7710
457	1388	7706
458	1391	7702
459	1394	7700
460	1397	7697
461	1400	7693
462	1403	7689
463	1406	7685
464	1409	7682
465	1412	7678
466	1414	7674
467	1417	7670
468	1420	7666
469	1423	7663
470	1426	7660
471	1429	7656
472	1432	7652
473	1435	7648
474	1438	7645
475	1441	7641
476	1444	7638
477	1446	7634
478	1449	7630
479	1452	7627
480	1455	7623
481	1458	7619
482	1461	7615
483	1464	7610
484	1467	7607
485	1469	7603
486	1472	7598
487	1475	7593
488	1477	7588
489	1480	7584
490	1483	7580
491	1486	7576
492	1488	7571
493	1491	7567
494	1494	7562
495	1497	7558
496	1499	7554
497	1502	7549
498	1505	7545
499	1508	7540
500	1511	7537
501	1513	7533
502	1516	7528
503	1519	7524
504	1522	7520
505	1524	7516
506	1528	7514
507	1530	7510
508	1533	7505
509	1536	7500
510	1539	7496
511	1542	7493
512	1544	7489
513	1547	7486
514	1550	7481
515	1553	7477
516	1556	7473
